,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,David Mamet,255.0,104.5
Color,David McNally,228.0,98.0
Color,David Mirkin,116.0,123.0
Color,David Moreau,172.0,92.0
Color,David Nixon,19.0,110.0
Color,David Nutter,96.0,84.0
Color,David O. Russell,2241.0,114.125
Color,David Oelhoffen,102.0,101.0
Color,David Palmer,176.0,100.0
Color,David Pastor,130.0,84.0
Color,David R. Ellis,1039.0,92.2
Color,David Ray,16.0,87.0
Color,David Raynr,90.0,100.33333333333333
Color,David Robert Mitchell,533.0,100.0
Color,David S. Goyer,363.0,105.5
Color,David S. Ward,57.0,107.0
Color,David Schwimmer,277.0,103.0
Color,David Silverman,299.0,87.0
Color,David Slade,828.0,113.66666666666667
Color,David Soren,166.0,96.0
Color,David Twohy,883.0,120.25
Color,David Wain,499.0,94.5
Color,David Webb Peoples,21.0,90.0
Color,David Winning,4.0,82.0
Color,David Winters,3.0,89.0
Color,David Worth,4.0,91.0
Color,David Yates,952.0,133.66666666666666
Color,David Zucker,446.0,86.2
Color,Davis Guggenheim,500.0,93.66666666666667
Color,Dean DeBlois,760.0,95.0
Color,Dean Israelite,177.0,106.0
Color,Dean Parisot,624.0,99.75
Color,Dean Wright,43.0,145.0
Color,Deb Hagan,42.0,94.0
Color,Debra Granik,365.0,100.0
Color,Deepa Mehta,125.0,113.5
Color,Demian Lichtenstein,113.0,125.0
Color,Dena Seidel,5.0,72.0
Color,Denis Villeneuve,1158.0,137.66666666666666
Color,Dennie Gordon,225.0,100.25
Color,Dennis Dugan,1252.0,97.77777777777777
Color,Dennis Gansel,93.0,107.0
Color,Dennis Hopper,24.0,94.0
Color,Dennis Iliadis,241.0,114.0
Color,Denys Arcand,135.0,112.0
Color,Denzel Washington,233.0,121.5
Color,Deon Taylor,63.0,88.0
Color,Derek Cianfrance,794.0,126.0
Color,Derick Martini,32.0,89.0
Color,Derrick Borte,144.0,96.0
Color,Deryck Broom,7.0,87.0
Color,Des McAnuff,49.0,92.0
Color,Dewey Nicks,66.0,86.0
Color,Dexter Fletcher,216.0,106.0
Color,Diane English,124.0,114.0
Color,Diane Keaton,82.0,94.0
Color,Dick Richards,6.0,107.0
Color,Dinesh D'Souza,30.0,87.0
Color,Dito Montiel,62.0,90.0
Color,Dominic Burns,20.0,101.0
Color,Dominic Sena,507.0,109.0
Color,Dominique Othenin-Girard,137.0,96.0
Color,Don Bluth,233.0,85.66666666666667
Color,Don Coscarelli,385.0,93.0
Color,Don Hall,384.0,102.0
Color,Don Kempf,14.0,46.0
Color,Don Mancini,148.0,88.0
Color,Don Michael Paul,83.0,95.5
Color,Don Scardino,260.0,100.0
Color,Don Siegel,53.0,112.0
Color,Don Taylor,74.0,98.0
Color,Donald Petrie,674.0,103.625
Color,Doug Atchison,95.0,112.0
Color,Doug Block,45.0,90.0
Color,Doug Lefler,90.0,102.0
Color,Doug Liman,1733.0,107.42857142857143
Color,Douglas Aarniokoski,219.0,92.5
Color,Douglas Cheek,77.0,96.0
Color,Douglas McGrath,378.0,113.0
Color,Douglas Trumbull,87.0,89.0
Color,Drake Doremus,206.0,90.0
Color,Drew Barrymore,230.0,111.0
Color,Drew Goddard,634.0,95.0
Color,Dror Moreh,105.0,101.0
Color,Duane Journey,46.0,86.0
Color,Duke Johnson,328.0,90.0
Color,Duncan Jones,1212.0,104.33333333333333
Color,Duncan Tucker,169.0,103.0
Color,Dustin Hoffman,175.0,98.0
Color,Dwight H. Little,238.0,92.5
Color,Dylan Bank,7.0,100.0
Color,E. Elias Merhige,101.0,99.0
Color,E.L. Katz,193.0,88.0
Color,Ed Decter,49.0,92.0
Color,Ed Gass-Donnelly,161.0,93.0
Color,Ed Harris,305.0,118.5
Color,Eddie O'Flaherty,13.0,109.0
Color,Edgar Wright,1351.0,110.25
Color,Edward Burns,99.0,98.0
Color,Edward Dmytryk,10.0,113.0
Color,Edward Hall,17.0,180.0
Color,Edward Norton,148.0,128.0
Color,Edward Zwick,877.0,128.0
Color,Efram Potelle,29.0,79.0
Color,Ekachai Uekrongtham,66.0,96.0
Color,Elaine May,49.0,107.0
Color,Eldar Rapaport,10.0,99.0
Color,Eli Craig,324.0,89.0
Color,Eli Roth,840.0,95.66666666666667
Color,Elizabeth Allen Rosenbaum,147.0,103.5
Color,Elizabeth Banks,401.0,104.5
Color,Ellory Elkayem,181.0,99.0
Color,Emile Ardolino,10.0,92.0
Color,Emilio Estevez,195.0,112.0
Color,Emily Dell,8.0,88.0
Color,Emily Young,19.0,103.0
Color,Emma-Kate Croghan,21.0,76.0
Color,Enrique Begne,5.0,101.0
Color,Eric Blakeney,49.0,101.0
Color,Eric Bress,185.0,120.0
Color,Eric Brevig,344.0,86.5
Color,Eric Bross,46.0,86.0
Color,Eric Bugbee,2.0,98.0
Color,Eric Darnell,843.0,88.6
Color,Eric Eason,28.0,79.0
Color,Eric England,15.0,81.0
Color,Eric Lartigau,94.0,106.0
Color,Eric Lavaine,17.0,98.0
Color,Eric Leighton,145.0,82.0
Color,Eric Mendelsohn,20.0,88.0
Color,Eric Schaeffer,25.0,98.0
Color,Eric Styles,16.0,92.0
Color,Eric Valette,183.0,90.5
Color,Ericson Core,163.0,114.0
Color,Erik Canuel,28.0,116.0
Color,Erik White,62.0,99.0
Color,Ernest R. Dickerson,66.0,92.0
Color,Ernie Barbarash,65.0,103.5
Color,Errol Morris,121.0,118.0
Color,Etan Cohen,173.0,107.0
Color,Ethan Coen,2814.0,106.85714285714286
Color,Ethan Maniquis,391.0,105.0
Color,Eugenio Derbez,41.0,115.0
Color,Evan Goldberg,711.0,109.5
Color,Eytan Fox,51.0,90.0
Color,F. Gary Gray,1088.0,126.57142857142857
Color,Fabián Bielinsky,94.0,114.0
Color,Fatih Akin,115.0,99.0
Color,Fede Alvarez,543.0,96.0
Color,Fedor Bondarchuk,14.0,115.0
Color,Fenton Bailey,39.0,98.0
Color,Fernando Baez Mella,1.0,101.0
Color,Fernando León de Aranoa,64.0,113.0
Color,Fernando Meirelles,669.0,128.33333333333334
Color,Feroz Abbas Khan,16.0,136.0
Color,Ferzan Ozpetek,81.0,110.0
Color,Fina Torres,72.0,92.0
Color,Finn Taylor,28.0,97.0
Color,Florence Ayisi,27.0,104.0
Color,Florent-Emilio Siri,152.0,113.0
Color,Floria Sigismondi,259.0,106.0
Color,Florian Henckel von Donnersmarck,536.0,120.0
Color,Floyd Mutrux,5.0,99.0
Color,Forest Whitaker,65.0,114.0
Color,Francesca Gregorini,21.0,96.0
Color,Francis Ford Coppola,1401.0,153.1818181818182
Color,Francis Lawrence,1896.0,126.0
Color,Franck Khalfoun,279.0,89.0
Color,Franco Zeffirelli,62.0,117.0
Color,Frank Capra,227.0,127.0
Color,Frank Coraci,919.0,111.66666666666667
Color,Frank Darabont,843.0,152.25
Color,Frank LaLoggia,130.0,118.0
Color,Frank Lotito,0.0,102.0
Color,Frank Marshall,290.0,113.0
Color,Frank Miller,223.0,103.0
Color,Frank Nissen,45.0,68.0
Color,Frank Oz,789.0,96.71428571428571
Color,Frank Perry,74.0,129.0
Color,Frank Sebastiano,20.0,86.0
Color,Frank Whaley,9.0,96.0
Color,Franklin J. Schaffner,169.0,138.33333333333334
Color,François Girard,94.0,130.0
Color,François Ozon,288.0,106.5
Color,François Truffaut,35.0,123.0
Color,Fred Dekker,75.0,104.0
Color,Fred Durst,47.0,94.0
Color,Fred Savage,52.0,89.0
Color,Fred Schepisi,61.0,109.0
Color,Fred Walton,96.0,89.0
Color,Fred Wolf,187.0,92.0
Color,Fred Zinnemann,125.0,128.66666666666666
Color,Frederik Du Chau,107.0,94.0
Color,Frédéric Auburtin,7.0,110.0
Color,Frédéric Forestier,33.0,116.0
Color,Gabe Ibáñez,136.0,109.0
Color,Gabor Csupo,181.0,96.0
Color,Gabriela Tagliavini,4.0,87.0
Color,Gabriele Muccino,574.0,117.5
Color,Gareth Edwards,344.0,94.0
Color,Gareth Evans,481.0,102.0
Color,Garry Marshall,937.0,116.875
Color,Garth Jennings,276.0,109.0
Color,Gary Chapman,93.0,76.0
Color,Gary David Goldberg,120.0,98.0
Color,Gary Fleder,534.0,109.0
Color,Gary Halvorson,44.0,73.0
Color,Gary Hardwick,52.0,106.0
Color,Gary McKendry,189.0,116.0
Color,Gary Nelson,90.0,98.0
Color,Gary Rogers,7.0,120.0
Color,Gary Ross,752.0,140.5
Color,Gary Sherman,66.0,98.0
Color,Gary Shore,261.0,92.0
Color,Gary Sinyor,12.0,94.0
Color,Gary Trousdale,226.0,93.0
Color,Gary Winick,641.0,93.4
Color,Gaspar Noé,408.0,130.0
Color,Gavin Hood,959.0,112.25
Color,Gavin O'Connor,787.0,121.0
Color,Gavin Wiesen,122.0,83.0
Color,Gene Quintano,19.0,84.0
Color,Gene Teigland,0.0,103.0
Color,Genndy Tartakovsky,408.0,90.0
Color,Geoff Murphy,47.0,92.0
Color,Geoffrey Sax,239.0,97.0
Color,George A. Romero,865.0,100.5
Color,George Armitage,186.0,97.5
Color,George Clooney,1159.0,111.5
Color,George Cukor,82.0,170.0
Color,George Gallo,68.0,88.5
Color,George Hickenlooper,234.0,103.5
Color,George Jackson,12.0,94.0
Color,George Lucas,1345.0,131.0
Color,George Miller,1505.0,103.85714285714286
Color,George Nolfi,413.0,106.0
Color,George P. Cosmatos,204.0,111.0
Color,George Ratliff,48.0,96.0
Color,George Roy Hill,249.0,119.5
Color,George Sidney,43.0,105.33333333333333
Color,George Stevens,27.0,225.0
Color,George Tillman Jr.,445.0,117.5
Color,Georgia Hilton,1.0,122.0
Color,Gerald Potterton,62.0,90.0
Color,Gerard Johnstone,166.0,107.0
Color,Gerry Lively,26.0,105.0
Color,Gia Coppola,117.0,100.0
Color,Gideon Raff,33.0,94.0
Color,Gil Junger,179.0,96.0
Color,Gil Kenan,308.0,90.5
Color,Gilles Paquet-Brenner,136.0,111.0
Color,Gillian Armstrong,55.0,123.5
Color,Gillian Robespierre,155.0,84.0
Color,Gina Prince-Bythewood,248.0,116.66666666666667
Color,Giovanni Zelko,5.0,99.0
Color,Giuliano Montaldo,28.0,96.0
Color,Giuseppe Tornatore,124.0,131.0
Color,Glen Morgan,315.0,97.0
Color,Glenn Ficarra,831.0,108.33333333333333
Color,Gnana Rajasekaran,2.0,153.0
Color,Gonzalo López-Gallego,228.0,86.0
Color,Goran Dukic,117.0,88.0
Color,Gordon Chan,98.0,108.0
Color,Gore Verbinski,1979.0,135.0
Color,Graham Annable,219.0,96.0
Color,Grant Heslov,271.0,94.0
Color,Greg Berlanti,51.0,94.0
Color,Greg Coolidge,85.0,103.0
Color,Greg Harrison,89.0,82.0
Color,Greg Marcks,68.0,85.0
Color,Greg Mottola,846.0,111.66666666666667
Color,Greg Tiernan,65.0,89.0
Color,Gregor Jordan,206.0,98.0
Color,Gregory Hoblit,475.0,114.66666666666667
Color,Gregory Jacobs,222.0,115.0
Color,Gregory Nava,37.0,127.0
Color,Gregory Poirier,75.0,95.0
Color,Gregory Widen,56.0,98.0
Color,Griffin Dunne,105.0,97.0
Color,Guillaume Canet,209.0,139.0
Color,Guillaume Ivernel,41.0,80.0
Color,Guillermo del Toro,1792.0,122.4
Color,Gurinder Chadha,311.0,111.33333333333333
Color,Gus Van Sant,1089.0,115.57142857142857
Color,Guy Hamilton,538.0,119.0
Color,Guy Ritchie,1706.0,114.28571428571429
Color,Gérard Krawczyk,40.0,94.0
Color,H.M. Coakley,8.0,91.0
Color,Hal Haberman,56.0,81.0
Color,Hal Needham,40.0,99.0
Color,Ham Tran,15.0,135.0
Color,Hank Braxtan,14.0,89.0
Color,Hans Canosa,365.0,84.0
Color,Hans Petter Moland,28.0,106.0
Color,Hao Ning,16.0,98.5
Color,Harald Reinl,38.0,80.0
Color,Harald Zwart,291.0,116.0
Color,Hark Tsui,67.0,91.0
Color,Harley Cokeliss,27.0,92.0
Color,Harmage Singh Kalirai,10.0,90.0
Color,Harmony Korine,444.0,94.0
Color,Harold Becker,270.0,106.0
Color,Harold Cronk,29.0,120.0
Color,Harold Ramis,861.0,100.75
Color,Harry Elfont,169.0,99.0
Color,Harry Gantz,12.0,105.0
Color,Hart Bochner,15.0,79.0
Color,Hayao Miyazaki,888.0,119.75
Color,Hayley Cloake,11.0,90.0
Color,Heidi Ewing,73.0,93.0
Color,Henry Alex Rubin,110.0,88.0
Color,Henry Hathaway,74.0,92.0
Color,Henry Hobson,256.0,95.0
Color,Henry Jaglom,19.0,117.0
Color,Henry Joost,585.0,95.33333333333333
Color,Henry Koster,42.0,135.0
Color,Henry Selick,74.0,93.0
Color,Herb Freed,78.0,96.0
Color,Herbert Ross,60.0,107.0
Color,Hideaki Anno,1.0,120.0
Color,Hideo Nakata,196.0,128.0
Color,Hironobu Sakaguchi,166.0,106.0
Color,Hitoshi Matsumoto,72.0,99.0
Color,Hong-jin Na,77.0,156.0
Color,Howard Deutch,272.0,109.33333333333333
Color,Howard Zieff,56.0,105.5
Color,Hoyt Yeatman,145.0,88.0
Color,Hsiao-Hsien Hou,205.0,105.0
Color,Huck Botko,46.0,86.0
Color,Hue Rhodes,45.0,85.0
Color,Hugh Hudson,142.0,119.5
Color,Hugh Johnson,68.0,102.0
Color,Hugh Wilson,231.0,97.0
Color,Hunter Richards,34.0,92.0
Color,Hyung-rae Shim,97.0,103.5
Color,Iain Softley,380.0,111.0
Color,Ian Fitzgibbon,54.0,88.0
Color,Ian Iqbal Rashid,62.0,94.0
Color,Ian Sharp,12.0,102.0
Color,Ice Cube,22.0,104.0
Color,Igor Kovalyov,45.0,83.0
Color,Ingmar Bergman,76.0,91.0
Color,Inna Evlannikova,16.0,85.0
Color,Ira Sachs,160.0,99.5
Color,Irvin Kershner,312.0,124.0
Color,Irwin Winkler,152.0,119.5
Color,Isaac Florentine,28.0,80.0
Color,Isabel Coixet,72.0,106.0
Color,István Szabó,93.0,104.0
Color,Ivan Engler,64.0,112.0
Color,Ivan Reitman,789.0,107.75
Color,J Blakeson,194.0,112.0
Color,J. Lee Thompson,142.0,92.0
Color,J.A. Bayona,671.0,109.5
Color,J.B. Rogers,229.0,101.5
Color,J.C. Chandor,986.0,112.66666666666667
Color,J.J. Abrams,1957.0,123.75
Color,J.S. Cardone,56.0,90.0
Color,JK Youn,43.0,103.0
Color,Jack Heller,26.0,90.0
Color,Jack Perez,131.0,97.0
Color,Jack Sholder,138.0,87.0
Color,Jack Smight,63.0,106.0
Color,Jackie Earle Haley,46.0,94.0
Color,Jaco Booyens,0.0,90.0
Color,Jacob Aaron Estes,126.0,90.0
Color,Jacques Perrin,213.0,92.5
Color,Jafar Panahi,64.0,90.0
Color,Jaime Zevallos,0.0,93.0
Color,Jake Goldberger,39.0,87.0
Color,Jake Kasdan,739.0,106.75
Color,Jake Paltrow,50.0,93.0
Color,Jake Schreier,443.0,99.0
Color,Jake Scott,112.0,110.0
Color,Jamaa Fanaka,23.0,99.0
Color,Jamal Hill,10.0,89.0
Color,Jamel Debbouze,9.0,101.0
Color,James Algar,344.0,88.0
Color,James Bidgood,8.0,65.0
Color,James Bobin,893.0,111.66666666666667
Color,James Bridges,28.0,107.0
Color,James Cameron,1878.0,156.85714285714286
Color,James Cox,115.0,97.33333333333333
Color,James David Pasternak,17.0,85.0
Color,James DeMonaco,811.0,99.0
Color,James Dodson,22.0,106.0
Color,James Fargo,2.0,127.0
Color,James Foley,330.0,102.33333333333333
Color,James Frawley,63.0,95.0
Color,James Gartner,95.0,118.0
Color,James Gray,735.0,115.5
Color,James Gunn,1142.0,104.0
Color,James Isaac,205.0,85.0
Color,James Ivory,332.0,131.71428571428572
Color,James L. Brooks,448.0,130.33333333333334
Color,James Manera,12.0,99.0
Color,James Mangold,1834.0,123.875
Color,James Marsh,613.0,106.5
Color,James Mather,289.0,95.0
Color,James McTeigue,1089.0,109.25
Color,James Melkonian,10.0,82.0
Color,James Mottern,46.0,90.0
Color,James Nunn,25.0,93.0
Color,James O'Brien,5.0,105.0
Color,James Ponsoldt,220.0,95.0
Color,James Schamus,63.0,110.0
Color,James Toback,81.0,91.5
Color,James Wan,2451.0,115.57142857142857
Color,James Watkins,623.0,93.0
Color,James Wong,655.0,92.25
Color,Jamie Babbit,164.0,88.0
Color,Jamie Blanks,221.0,97.5
Color,Jamie Thraves,35.0,100.0
Color,Jamie Travis,115.0,88.0
Color,Jamin Winans,66.0,107.0
Color,Jan de Bont,631.0,116.0
Color,Jane Campion,443.0,117.66666666666667
Color,Jane Clark,0.0,7.0
Color,Janusz Kaminski,100.0,97.0
Color,Jared Hess,489.0,91.0
Color,Jason Alexander,20.0,97.0
Color,Jason Bateman,126.0,89.0
Color,Jason Connery,32.0,90.0
Color,Jason Eisener,272.0,86.0
Color,Jason Friedberg,456.0,87.25
Color,Jason Miller,5.0,77.0
Color,Jason Moore,223.0,112.0
Color,Jason Naumann,0.0,35.0
Color,Jason Reitman,1559.0,100.2
Color,Jason Stone,48.0,108.0
Color,Jason Trost,42.0,78.0
Color,Jason Zada,185.0,93.0
Color,Jaume Balagueró,773.0,92.0
Color,Jaume Collet-Serra,1623.0,108.33333333333333
Color,Jay Alaimo,9.0,84.0
Color,Jay Chandrasekhar,401.0,109.0
Color,Jay Duplass,549.0,85.75
Color,Jay Levey,59.0,150.0
Color,Jay Oliva,44.0,148.0
Color,Jay Roach,1332.0,98.625
Color,Jay Russell,273.0,100.0
Color,Je-kyu Kang,86.0,148.0
Color,Jean-François Richet,152.0,109.0
Color,Jean-Jacques Annaud,413.0,119.0
Color,Jean-Jacques Mantello,9.0,42.0
Color,Jean-Luc Godard,96.0,110.0
Color,Jean-Marc Vallée,1008.0,110.66666666666667
Color,Jean-Marie Poiré,85.0,103.0
Color,Jean-Paul Rappeneau,28.0,135.0
Color,Jean-Pierre Jeunet,744.0,114.75
Color,Jeannot Szwarc,116.0,117.0
Color,Jeb Stuart,58.0,123.0
Color,Jee-woon Kim,528.0,121.0
Color,Jeff Burr,57.0,92.0
Color,Jeff Crook,8.0,90.0
Color,Jeff Franklin,45.0,94.0
Color,Jeff Garlin,32.0,80.0
Color,Jeff Kanew,11.0,105.0
Color,Jeff Lowell,100.0,95.0
Color,Jeff Nathanson,42.0,93.0
Color,Jeff Nichols,1075.0,113.75
Color,Jeff Schaffer,92.0,93.0
Color,Jeff Tremaine,523.0,95.5
Color,Jeff Wadlow,627.0,101.0
Color,Jeffrey St. Jules,16.0,90.0
Color,Jeffrey W. Byrd,23.0,95.0
Color,Jehane Noujaim,68.0,108.0
Color,Jem Cohen,12.0,111.0
Color,Jennifer Finnigan,1.0,97.0
Color,Jennifer Flackett,139.0,96.0
Color,Jennifer Wynne Farmer,2.0,107.0
Color,Jennifer Yuh Nelson,284.0,90.0
Color,Jeremy Brock,64.0,98.0
Color,Jeremy Degruson,60.0,85.0
Color,Jeremy Leven,44.0,97.0
Color,Jeremy Saulnier,601.0,92.5
Color,Jeremy Sims,17.0,122.0
Color,Jerome Elston Scott,8.0,98.0
Color,Jerome Robbins,120.0,152.0
Color,Jerry Belson,21.0,87.0
Color,Jerry Dugan,18.0,92.0
Color,Jerry Jameson,71.0,108.0
Color,Jerry Rees,17.0,90.0
Color,Jerry Zaks,45.0,98.0
Color,Jerry Zucker,233.0,124.33333333333333
Color,Jesse Dylan,281.0,87.33333333333333
Color,Jesse Peretz,195.0,92.0
Color,Jesse Vaughan,32.0,91.0
Color,Jessica Bendinger,90.0,103.0
Color,Jessie Nelson,226.0,119.5
Color,Jessy Terrero,75.0,92.0
Color,Jeta Amata,6.0,95.0
Color,Jez Butterworth,111.0,93.0
Color,Jill Sprecher,120.0,100.0
Color,Jim Abrahams,134.0,88.0
Color,Jim Amatulli,0.0,90.0
Color,Jim Fall,66.0,94.0
Color,Jim Field Smith,180.0,104.0
Color,Jim Gillespie,206.0,97.5
Color,Jim Goddard,21.0,97.0
Color,Jim Hanon,47.0,108.0
Color,Jim Issa,4.0,84.0
Color,Jim Jarmusch,167.0,116.0
Color,Jim Mickle,215.0,98.0
Color,Jim Sheridan,489.0,102.0
Color,Jim Sonzero,148.0,90.0
Color,Jimmy Hayward,296.0,86.0
Color,Jirí Menzel,99.0,113.0
Color,Joachim Rønning,58.0,93.0
Color,Joan Chen,101.0,103.0
Color,Joby Harold,133.0,84.0
Color,Jodie Foster,589.0,97.33333333333333
Color,Jody Hill,190.0,86.0
Color,Joe Berlinger,160.0,90.0
Color,Joe Camp,5.0,86.0
Color,Joe Carnahan,721.0,110.33333333333333
Color,Joe Chappelle,123.0,93.0
Color,Joe Charbanic,103.0,97.0
Color,Joe Cornish,399.0,88.0
Color,Joe Cross,13.0,97.0
Color,Joe Dante,875.0,99.28571428571429
Color,Joe Johnston,1205.0,117.75
Color,Joe Kenemore,0.0,52.0
Color,Joe Marino,9.0,76.0
Color,Joe Nussbaum,207.0,100.33333333333333
Color,Joe Pytka,46.0,88.0
Color,Joe Roth,247.0,100.5
Color,Joe Swanberg,220.0,86.0
Color,Joe Wright,1700.0,121.0
Color,Joel Anderson,95.0,89.0
Color,Joel Coen,607.0,108.0
Color,Joel Edgerton,297.0,108.0
Color,Joel Gallen,97.0,99.0
Color,Joel Paul Reisig,2.0,108.0
Color,Joel Schumacher,1523.0,112.83333333333333
Color,Joel Zwick,227.0,94.0
Color,Joey Lauren Adams,36.0,97.0
Color,Johanna Schwartz,22.0,105.0
Color,John 'Bud' Cardos,95.0,97.0
Color,John A. Davis,171.0,85.0
Color,John Badham,84.0,114.0
Color,John Blanchard,0.0,65.0
Color,John Bonito,78.0,92.0
Color,John Boorman,273.0,106.33333333333333
Color,John Cameron Mitchell,516.0,95.66666666666667
Color,John Carl Buechler,110.0,88.0
Color,John Carney,515.0,94.5
Color,John Carpenter,1794.0,99.9
Color,John Cornell,32.0,108.0
Color,John Crowley,351.0,111.0
Color,John Curran,281.0,115.0
Color,John D. Hancock,4.0,110.0
Color,John Dahl,389.0,103.66666666666667
Color,John Duigan,16.0,102.0
Color,John Eng,45.0,80.0
Color,John Erick Dowdle,870.0,91.25
Color,John Ford,82.0,106.0
Color,John Fortenberry,63.0,82.0
Color,John Francis Daley,204.0,99.0
Color,John Frankenheimer,415.0,111.75
Color,John G. Avildsen,222.0,135.5
Color,John Gatins,75.0,98.0
Color,John Glen,548.0,130.4
Color,John Gray,39.0,91.0
Color,John Guillermin,21.0,117.0
Color,John Gulager,130.0,95.0
Color,John H. Lee,2.0,115.0
Color,John Hamburg,356.0,94.33333333333333
Color,John Herzfeld,181.0,108.5
Color,John Hillcoat,737.0,110.0
Color,John Hoffman,52.0,87.0
Color,John Huston,42.0,115.0
Color,John Lafia,59.0,72.0
Color,John Laing,0.0,86.0
Color,John Landis,408.0,112.0
Color,John Lasseter,1034.0,94.8
Color,John Lee Hancock,864.0,129.5
Color,John Luessenhop,401.0,99.5
Color,John Maclean,246.0,84.0
Color,John Madden,910.0,122.6
Color,John Maybury,161.0,94.0
Color,John McNaughton,69.0,115.0
Color,John McTiernan,1326.0,114.8
Color,John Michael McDonagh,261.0,96.0
Color,John Milius,276.0,119.33333333333333
Color,John Moore,885.0,105.75
Color,John Murlowski,2.0,89.0
Color,John Ottman,108.0,97.0
Color,John Pasquin,230.0,103.33333333333333
Color,John Patrick Shanley,293.0,104.0
Color,John Polson,266.0,93.0
Color,John Putch,23.0,111.0
Color,John R. Leonetti,330.0,97.0
Color,John Sayles,217.0,131.5
Color,John Schlesinger,117.0,100.0
Color,John Schultz,180.0,92.0
Color,John Simpson,24.0,99.0
Color,John Singleton,689.0,107.0
Color,John Stainton,61.0,90.0
Color,John Stephenson,9.0,100.0
Color,John Stockwell,273.0,116.33333333333333
Color,John Sturges,111.0,172.0
Color,John Turturro,123.0,112.0
Color,John Waters,215.0,96.66666666666667
Color,John Wells,497.0,111.0
Color,John Whitesell,312.0,97.0
Color,John Woo,972.0,131.83333333333334
Color,Johnnie To,98.0,110.0
Color,Johnny Remo,2.0,112.0
Color,Jon Amiel,378.0,116.25
Color,Jon Avnet,390.0,111.0
Color,Jon Cassar,45.0,90.0
Color,Jon Favreau,1678.0,108.16666666666667
Color,Jon Gunn,69.0,105.33333333333333
Color,Jon Hess,19.0,87.0
Color,Jon Hurwitz,444.0,107.5
Color,Jon Kasdan,81.0,97.0
Color,Jon Knautz,170.0,94.0
Color,Jon Lucas,249.0,96.5
Color,Jon M. Chu,866.0,114.2
Color,Jon Poll,146.0,97.0
Color,Jon Shear,38.0,106.0
Color,Jon Stewart,129.0,103.0
Color,Jon Turteltaub,889.0,116.33333333333333
Color,Jon Wright,187.0,94.0
Color,Jonas Elmer,121.0,97.0
Color,Jonas Åkerlund,92.0,106.0
Color,Jonathan Caouette,72.0,88.0
Color,Jonathan Dayton,270.0,101.0
Color,Jonathan Demme,772.0,135.4
Color,Jonathan English,91.0,121.0
Color,Jonathan Frakes,448.0,100.75
Color,Jonathan Glazer,770.0,99.0
Color,Jonathan Hensleigh,192.0,140.0
Color,Jonathan Jakubowicz,0.0,105.0
Color,Jonathan Kaplan,70.0,100.0
Color,Jonathan Levine,1159.0,96.75
Color,Jonathan Liebesman,1349.0,99.0
Color,Jonathan Lynn,274.0,102.25
Color,Jonathan Mostow,788.0,101.75
Color,Jonathan Newman,28.0,100.0
Color,Jonathan Parker,2.0,87.0
Color,Jonathan Teplitzky,186.0,116.0
Color,Joon-ho Bong,488.0,126.0
Color,Jorge Blanco,156.0,91.0
Color,Jorge Gaggero,25.0,83.0
Color,Jorge R. Gutiérrez,156.0,95.0
Color,Jorge Ramírez Suárez,26.0,120.0
Color,Jorma Taccone,163.0,95.0
Color,Josef Rusnak,111.0,100.0
Color,Joseph Dorman,29.0,93.0
Color,Joseph Gordon-Levitt,364.0,90.0
Color,Joseph Kahn,201.0,88.5
Color,Joseph Kosinski,1012.0,124.5
Color,Joseph L. Mankiewicz,72.0,251.0
Color,Joseph Mazzella,0.0,90.0
Color,Joseph Ruben,40.0,105.0
Color,Joseph Sargent,80.0,92.0
Color,Joseph Zito,220.0,102.0
Color,Josh Boone,326.0,133.0
Color,Josh Gordon,372.0,97.0
Color,Josh Schwartz,77.0,86.0
Color,Josh Trank,783.0,94.5
Color,Joshua Logan,20.0,158.0
Color,Joshua Marston,155.0,101.0
Color,Joshua Michael Stern,131.0,120.0
Color,Joshua Oppenheimer,248.0,96.0
Color,Joshua Seftel,79.0,107.0
Color,Joshua Tickell,14.0,112.0
Color,Joss Whedon,1614.0,144.33333333333334
Color,José Luis Valenzuela,13.0,100.0
Color,José Padilha,634.0,116.0
Color,Juan Carlos Fresnadillo,274.0,100.0
Color,Juan José Campanella,344.0,117.5
Color,Judd Apatow,1315.0,136.4
Color,Jugal Hansraj,6.0,93.0
Color,Julian Gilbey,164.0,100.5
Color,Julian Jarrold,241.0,111.0
Color,Julian Schnabel,301.0,110.0
Color,Julie Anne Robinson,250.0,99.0
Color,Julie Davis,5.0,86.0
Color,Julie Taymor,248.0,121.5
Color,Julien Temple,22.0,124.0
Color,Julio DePietro,22.0,90.0
Color,Jun Falkenstein,89.0,77.0
Color,Juraj Jakubisko,25.0,141.0
Color,Justin Chadwick,380.0,128.0
Color,Justin Dillon,7.0,86.0
Color,Justin Kerrigan,47.0,99.0
Color,Justin Lin,908.0,108.0
Color,Justin Molotnikov,16.0,93.0
Color,Justin Paul Miller,1.0,90.0
Color,Justin Thomas Ostensen,18.0,99.0
Color,Justin Tipping,6.0,80.0
Color,Justin Zackham,133.0,89.0
Color,Jérôme Deschamps,4.0,80.0
Color,Jérôme Salle,69.0,110.0
Color,K. King,150.0,93.0
Color,Kabir Sadanand,9.0,134.0
Color,Kaige Chen,90.0,103.0
Color,Kar-Wai Wong,465.0,108.5
Color,Karan Johar,230.0,160.5
Color,Karen Moncrieff,129.0,90.5
